point_index,frequency_index,frequency_hz,x_index,y_index,static_status,deflection_amplitude_m,deflection_fitted_frequency_hz,deflection_phase_rad,deflection_dc_m,deflection_residual_norm_m,indentation_amplitude_m,indentation_fitted_frequency_hz,indentation_phase_rad,indentation_dc_m,indentation_residual_norm_m,position_z_amplitude_m,position_z_fitted_frequency_hz,position_z_phase_rad,position_z_dc_m,position_z_residual_norm_m,vea_status,deflection_status,indentation_status,position_z_status,failure_reason
18,0,499.99999999999983,18,0,unprocessed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,unprocessed,unprocessed,unprocessed,unprocessed,
18,1,889.1397050194613,18,0,unprocessed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,unprocessed,unprocessed,unprocessed,unprocessed,
18,2,1581.13883008419,18,0,unprocessed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,unprocessed,unprocessed,unprocessed,unprocessed,
18,3,2811.706625951747,18,0,unprocessed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,unprocessed,unprocessed,unprocessed,unprocessed,
18,4,5000.000000000004,18,0,unprocessed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,unprocessed,unprocessed,unprocessed,unprocessed,
19,0,499.99999999999983,19,0,unprocessed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,unprocessed,unprocessed,unprocessed,unprocessed,
19,1,889.1397050194613,19,0,unprocessed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,unprocessed,unprocessed,unprocessed,unprocessed,
19,2,1581.13883008419,19,0,unprocessed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,unprocessed,unprocessed,unprocessed,unprocessed,
19,3,2811.706625951747,19,0,unprocessed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,unprocessed,unprocessed,unprocessed,unprocessed,
19,4,5000.000000000004,19,0,unprocessed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,unprocessed,unprocessed,unprocessed,unprocessed,
20,0,499.99999999999983,20,0,unprocessed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,unprocessed,unprocessed,unprocessed,unprocessed,
20,1,889.1397050194613,20,0,unprocessed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,unprocessed,unprocessed,unprocessed,unprocessed,
20,2,1581.13883008419,20,0,unprocessed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,unprocessed,unprocessed,unprocessed,unprocessed,
20,3,2811.706625951747,20,0,unprocessed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,unprocessed,unprocessed,unprocessed,unprocessed,
20,4,5000.000000000004,20,0,unprocessed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,unprocessed,unprocessed,unprocessed,unprocessed,
