point_index,x_index,y_index,model,fit_direction,static_status,failure_reason,young_modulus_pa,contact_point_m,residual_norm_n,snap_in_force_n,adhesion_force_n,baseline_slope,baseline_offset_m
131,124,1,Hertz,Advance,unprocessed,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
132,123,1,Hertz,Advance,unprocessed,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
133,122,1,Hertz,Advance,unprocessed,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
134,121,1,Hertz,Advance,unprocessed,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
135,120,1,Hertz,Advance,unprocessed,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
136,119,1,Hertz,Advance,unprocessed,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
137,118,1,Hertz,Advance,unprocessed,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
138,117,1,Hertz,Advance,unprocessed,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
139,116,1,Hertz,Advance,unprocessed,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
140,115,1,Hertz,Advance,unprocessed,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
141,114,1,Hertz,Advance,unprocessed,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
142,113,1,Hertz,Advance,unprocessed,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
143,112,1,Hertz,Advance,unprocessed,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
144,111,1,Hertz,Advance,unprocessed,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
145,110,1,Hertz,Advance,unprocessed,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
146,109,1,Hertz,Advance,unprocessed,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
147,108,1,Hertz,Advance,unprocessed,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
148,107,1,Hertz,Advance,unprocessed,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
149,106,1,Hertz,Advance,unprocessed,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
150,105,1,Hertz,Advance,unprocessed,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
151,104,1,Hertz,Advance,unprocessed,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
152,103,1,Hertz,Advance,unprocessed,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
153,102,1,Hertz,Advance,unprocessed,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
154,101,1,Hertz,Advance,unprocessed,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
155,100,1,Hertz,Advance,unprocessed,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
156,99,1,Hertz,Advance,unprocessed,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
157,98,1,Hertz,Advance,unprocessed,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
158,97,1,Hertz,Advance,unprocessed,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
159,96,1,Hertz,Advance,unprocessed,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
160,95,1,Hertz,Advance,unprocessed,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
161,94,1,Hertz,Advance,unprocessed,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
162,93,1,Hertz,Advance,unprocessed,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
163,92,1,Hertz,Advance,unprocessed,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
164,91,1,Hertz,Advance,unprocessed,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
165,90,1,Hertz,Advance,unprocessed,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
166,89,1,Hertz,Advance,unprocessed,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
167,88,1,Hertz,Advance,unprocessed,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
168,87,1,Hertz,Advance,unprocessed,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
169,86,1,Hertz,Advance,unprocessed,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
170,85,1,Hertz,Advance,unprocessed,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
171,84,1,Hertz,Advance,unprocessed,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
172,83,1,Hertz,Advance,unprocessed,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
173,82,1,Hertz,Advance,unprocessed,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
174,81,1,Hertz,Advance,unprocessed,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
175,80,1,Hertz,Advance,unprocessed,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
176,79,1,Hertz,Advance,unprocessed,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
