point_index,x_index,y_index,model,fit_direction,static_status,failure_reason,young_modulus_pa,contact_point_m,adhesion_parameter_n_per_m,residual_norm_n,snap_in_force_n,adhesion_force_n,baseline_slope,baseline_offset_m
106,106,0,Hertz,Advance,success,,1887829.1302409323,-4.994313745480966e-07,0.0,1.4478920223189162e-09,-1.3851292439547293e-09,-7.91034386161744e-09,-0.005601421043687457,1.3243652061244419e-08
107,107,0,Hertz,Advance,success,,1972590.2134713656,-4.998162126558696e-07,0.0,1.2717257261525846e-09,-1.4136604619787445e-09,-7.471659239726371e-09,-0.005926828505622777,1.3521925679367907e-08
108,108,0,Hertz,Advance,success,,2062598.9482314202,-5.001905828130436e-07,0.0,1.219310005792426e-09,-1.4398488970054554e-09,-7.489586490956942e-09,-0.005685862937940886,1.339918634770356e-08
109,109,0,Hertz,Advance,success,,1984040.2375999196,-5.017007582202779e-07,0.0,1.5763736673060386e-09,-1.4278836170775205e-09,-7.198003670780086e-09,-0.005653187722781031,1.3328941816176524e-08
110,110,0,Hertz,Advance,success,,1844234.3287403034,-5.088485657969656e-07,0.0,1.731606348393981e-09,-1.2291701820518397e-09,-7.479604398583648e-09,-0.005556324127761499,1.3285684180326911e-08
111,111,0,Hertz,Advance,success,,1762264.5330372523,-5.122709169780569e-07,0.0,2.380043143885843e-09,-1.1802332289779345e-09,-7.695081897607147e-09,-0.0054176469355653655,1.3221655449548956e-08
112,112,0,Hertz,Advance,success,,1860060.2236533437,-5.114006922489308e-07,0.0,1.9411944605940646e-09,-1.1320020604024938e-09,-7.7130662003542e-09,-0.0055000775696087975,1.3286077288869918e-08
113,113,0,Hertz,Advance,success,,1979685.1290988005,-5.123634894798324e-07,0.0,2.355159264234844e-09,-1.1538506668406717e-09,-8.232482763273104e-09,-0.0058095433226885715,1.3464834955688043e-08
114,114,0,Hertz,Advance,success,,1947876.7085539838,-5.118838712942643e-07,0.0,1.7572559441503058e-09,-1.1589661855225855e-09,-7.745280979362912e-09,-0.005471414808649236,1.3305363306313511e-08
115,115,0,Hertz,Advance,success,,2014127.6032964503,-5.132757694180912e-07,0.0,2.8297463741142725e-09,-1.0675183557559799e-09,-7.983304500586955e-09,-0.005700050046907826,1.3428583272075203e-08
116,116,0,Hertz,Advance,success,,2046748.174584115,-5.122932751147726e-07,0.0,1.942968684936936e-09,-1.1428901786383196e-09,-7.985870809042847e-09,-0.005655074226897043,1.3351724300783754e-08
117,117,0,Hertz,Advance,success,,2006513.7203923012,-5.133526053849536e-07,0.0,2.1547385303647418e-09,-1.1265232145994786e-09,-8.399029808198737e-09,-0.005690767607228319,1.3358467816290129e-08
118,118,0,Hertz,Advance,success,,2134864.828051672,-5.146565515787146e-07,0.0,2.485588571430893e-09,-1.1095558113028589e-09,-8.319135311172355e-09,-0.00549981761967204,1.329104430246017e-08
119,119,0,Hertz,Advance,success,,2237755.3544705566,-5.129165867264761e-07,0.0,2.2599083885272806e-09,-1.1721920949348171e-09,-1.0805982123304585e-08,-0.005361689135847385,1.3224075489021579e-08
120,120,0,Hertz,Advance,success,,2179586.49653082,-5.16020583646292e-07,0.0,2.5593818461483167e-09,-1.0015501809393613e-09,-8.982151374919875e-09,-0.005552349874545562,1.3322558252009482e-08
121,121,0,Hertz,Advance,success,,2307594.2098767166,-5.168241755992606e-07,0.0,2.8585245630750144e-09,-9.439290622130438e-10,-9.023750343081464e-09,-0.005702662173175891,1.3426257812675287e-08
122,122,0,Hertz,Advance,success,,2297562.3622908005,-5.198598244006203e-07,0.0,3.4861680720144636e-09,-9.383593637363267e-10,-9.098481509513202e-09,-0.005411661708708637,1.3181596356945648e-08
123,123,0,Hertz,Advance,success,,2456448.04353489,-5.187509209583973e-07,0.0,3.2137305140992323e-09,-9.082130217088682e-10,-9.267944827273124e-09,-0.005536686215967863,1.3300843162780761e-08
124,124,0,Hertz,Advance,success,,2507760.586570077,-5.188280314955757e-07,0.0,2.986022325640948e-09,-8.933727426259691e-10,-8.934730213331415e-09,-0.00569313052358029,1.3486086527867733e-08
125,125,0,Hertz,Advance,success,,2461847.5834297664,-5.200501768087532e-07,0.0,3.017142783435527e-09,-9.22557107231717e-10,-9.880497458004202e-09,-0.005771334343828532,1.35024960458389e-08
126,126,0,Hertz,Advance,success,,2447738.037633103,-5.211324326629039e-07,0.0,3.003555360498454e-09,-9.13289702677495e-10,-9.58232207005504e-09,-0.0054142629537089525,1.322618293042493e-08
127,127,0,Hertz,Advance,success,,2393631.903587621,-5.202575404985759e-07,0.0,2.6651413502983464e-09,-9.115643565552453e-10,-9.880795449918845e-09,-0.005384909364631954,1.3261154931671479e-08
128,127,1,Hertz,Advance,success,,2481857.2699078973,-5.181371291599385e-07,0.0,3.3002380547911335e-09,-9.304108836630338e-10,-9.068469059602649e-09,-0.005519831620616505,1.3382878937021396e-08
129,126,1,Hertz,Advance,success,,2345335.6809529695,-5.197782454801475e-07,0.0,2.955949613890912e-09,-9.235974161486156e-10,-9.231506453802311e-09,-0.005650173757826443,1.3395819492547589e-08
130,125,1,Hertz,Advance,success,,2414459.229164468,-5.184143192438481e-07,0.0,2.873488073133856e-09,-8.962077481685642e-10,-9.704509910904308e-09,-0.0056922761591257625,1.3453998992588332e-08
131,124,1,Hertz,Advance,success,,2328482.0818831082,-5.171814941336388e-07,0.0,2.686112445160696e-09,-9.605224827367943e-10,-9.071857234908637e-09,-0.005890258645310256,1.3526844008812411e-08
132,123,1,Hertz,Advance,success,,2405558.9292602856,-5.161021767099335e-07,0.0,2.1743684877966062e-09,-9.146723011545049e-10,-9.261835126154539e-09,-0.005561246257814178,1.3340196997030017e-08
133,122,1,Hertz,Advance,success,,2275312.2809753995,-5.166426747621122e-07,0.0,2.4437131024420574e-09,-9.643494618725952e-10,-8.968820796447747e-09,-0.005772643021404938,1.3460961296952891e-08
